,Name,Conservation status,Kingdom,Phylum,Class,Order,Family,Genus,Species,Binomial Name,Synonyms,Summary,Categories,References,Wiki URL,Image,Countries,Habitat
1020,Grey-headed woodpecker,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Piciformes,Picidae,Picus,P. canus,"Picus canusGmelin, 1788[2]",,"The grey-headed woodpecker (Picus canus), also known as the grey-faced woodpecker, is a Eurasian member of the woodpecker family, Picidae. Along with the more commonly found European green woodpecker and the Iberian green woodpecker, it is one of three closely related sister species found in Europe.","[""Articles with 'species' microformats"", 'Articles with GND identifiers', 'Articles with short description']","['http://www.hbw.com/node/56316', 'http://www.eu-nomen.eu/portal/taxon.php?GUID=urn:lsid:faunaeur.org:taxname:97092', 'http://datazone.birdlife.org/species/factsheet/22726503']",https://en.wikipedia.org/wiki/Grey-headed_woodpecker,https://upload.wikimedia.org/wikipedia/commons/7/78/A_Formica_rufa_sideview.jpg,,forest
1021,Grey-hooded attila,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Attila,A. rufus,"Attila rufus(Vieillot, 1819)",,"The grey-hooded attila (Attila rufus) is a species of bird in the family Tyrannidae, the tyrant flycatchers. It is endemic to Brazil.","['All stub articles', ""Articles with 'species' microformats"", 'Articles with short description']","['http://ibc.hbw.com/ibc/phtml/especie.phtml?idEspecie=5090', 'http://vireo.acnatsci.org/search.html?Form=Search&SEARCHBY=Common&KEYWORDS=gray-hooded+attila&showwhat=images&AGE=All&SEX=All&ACT=All&Search=Search&VIEW=All&ORIENTATION=All&RESULTS=24', 'http://vireo.acnatsci.org/species_image.php?species=Attila+rufus']",https://en.wikipedia.org/wiki/Grey-hooded_attila,https://upload.wikimedia.org/wikipedia/commons/e/ee/Attila_rufus_-Reserva_Guainumbi%2C_Sao_Luis_do_Paraitinga%2C_Sao_Paulo%2C_Brasil-8.jpg,Brazil,forest
1022,Grey-hooded bush tanager,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Thraupidae,"CnemoscopusBangs & Penard, 1919",C. rubrirostris,"Cnemoscopus rubrirostris(Lafresnaye, 1840)",,The grey-hooded bush tanager (Cnemoscopus rubrirostris) is a species of South American bird in the tanager family Thraupidae.  It is the only member of the genus Cnemoscopus.,"['All stub articles', ""Articles with 'species' microformats"", 'Articles with short description']","['http://datazone.birdlife.org/species/factsheet/103819177', 'http://doi.org/10.2305%2FIUCN.UK.2017-3.RLTS.T103819177A119454269.en', 'https://neotropical.birds.cornell.edu/Species-Account/nb/species/gyhbut1']",https://en.wikipedia.org/wiki/Grey-hooded_bush_tanager,https://upload.wikimedia.org/wikipedia/commons/9/96/Cnemoscopus_rubrirostris.jpg,Colombia,forest
1023,Grey-hooded flycatcher,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Mionectes,M. rufiventris,"Mionectes rufiventrisCabanis, 1846",,"The grey-hooded flycatcher (Mionectes rufiventris) is a species of bird in the family Tyrannidae.
It is found in Argentina, Brazil, and Paraguay.","['All stub articles', ""Articles with 'species' microformats"", 'Articles with short description']","['http://datazone.birdlife.org/species/factsheet/22698803', 'http://www.boldsystems.org/index.php/TaxBrowser_TaxonPage?taxid=89009', 'http://doi.org/10.2305%2FIUCN.UK.2018-2.RLTS.T22698803A130197280.en']",https://en.wikipedia.org/wiki/Grey-hooded_flycatcher,https://upload.wikimedia.org/wikipedia/commons/c/ca/Filhotao_Ben-te-vi_REFON.jpg,Argentina,forest
1024,Grey-hooded fulvetta,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Paradoxornithidae,Fulvetta,F. cinereiceps,"Fulvetta cinereiceps(Verreaux, 1870)",Alcippe cinereiceps,"The grey-hooded fulvetta (Fulvetta cinereiceps) is a bird species in the family Sylviidae. Like the other typical fulvettas, it was long included in the Timaliidae genus Alcippe.","['All stub articles', ""Articles with 'species' microformats"", 'Articles with short description']","['http://datazone.birdlife.org/species/factsheet/22735182', 'http://www.boldsystems.org/index.php/TaxBrowser_TaxonPage?taxid=745556', 'http://doi.org/10.2305%2FIUCN.UK.2016-3.RLTS.T22735182A95105024.en']",https://en.wikipedia.org/wiki/Grey-hooded_fulvetta,https://upload.wikimedia.org/wikipedia/commons/f/f8/Fulvetta_cinereiceps.jpg,Mali,forest
1025,Grey-hooded parakeet,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psilopsiagon,P. aymara,"Psilopsiagon aymara(d'Orbigny, 1841)","Bolborhynchus aymara (d'Orbigny, 1839)","The grey-hooded parakeet (Psilopsiagon aymara), also known as the Aymara parakeet or Sierra parakeet, is a species of parrot in the family Psittacidae. It is found in northwestern Argentina and Bolivia.","[""Articles with 'species' microformats"", 'Articles with short description', 'Birds described in 1841']","['http://datazone.birdlife.org/species/factsheet/22685900', 'http://www.boldsystems.org/index.php/TaxBrowser_TaxonPage?taxid=69480', 'http://doi.org/10.2305%2FIUCN.UK.2016-3.RLTS.T22685900A93091465.en']",https://en.wikipedia.org/wiki/Grey-hooded_parakeet,https://upload.wikimedia.org/wikipedia/commons/5/5c/Eagle_01.svg,Argentina,
1026,Grey-hooded parrotbill,Vulnerable (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Paradoxornithidae,Sinosuthora,S. zappeyi,"Sinosuthora zappeyi(Thayer & Bangs, 1912)",Paradoxornis zappeyi,"The grey-hooded parrotbill (Sinosuthora zappeyi) is a species of parrotbill in the family Sylviidae.
It is endemic to China.","['All stub articles', ""Articles with 'species' microformats"", 'Articles with short description']","['http://datazone.birdlife.org/species/factsheet/22716813', 'http://www.birdlife.org/datazone/search/species_search.html?action=SpcHTMDetails.asp&sid=8055&m=0', 'http://doi.org/10.2305%2FIUCN.UK.2017-1.RLTS.T22716813A110157024.en']",https://en.wikipedia.org/wiki/Grey-hooded_parrotbill,https://upload.wikimedia.org/wikipedia/commons/9/9a/IanthocinclaTreacheriKeulemans.jpg,China,forest
1027,Grey-hooded sierra finch,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Thraupidae,Phrygilus,P. gayi,"Phrygilus gayi(Gervais, 1834)",,"The grey-hooded sierra finch (Phrygilus gayi) is a species of bird in the family Thraupidae.
It is found in Argentina and Chile where its natural habitats are subtropical or tropical dry shrubland and subtropical or tropical high-altitude shrubland.","['All stub articles', ""Articles with 'species' microformats"", 'Articles with short description']","['http://datazone.birdlife.org/species/factsheet/22723069', 'http://www.boldsystems.org/index.php/TaxBrowser_TaxonPage?taxid=54415', 'http://doi.org/10.2305%2FIUCN.UK.2016-3.RLTS.T22723069A94802267.en']",https://en.wikipedia.org/wiki/Grey-hooded_sierra_finch,https://upload.wikimedia.org/wikipedia/commons/4/41/Grey-hooded_sierra_finch.JPG,Argentina,
1028,Grey-hooded sunbird,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Aethopyga,A. primigenia,"Aethopyga primigenia(Hachisuka, 1941)",Aethopyga primigenius (lapsus),The grey-hooded sunbird (Aethopyga primigenia) is a species of bird in the family Nectariniidae. It is endemic to the Philippines.,"['Aethopyga', 'All stub articles', ""Articles with 'species' microformats""]","['http://datazone.birdlife.org/species/factsheet/22718048', 'http://www.boldsystems.org/index.php/TaxBrowser_TaxonPage?taxid=118761', 'http://doi.org/10.2305%2FIUCN.UK.2020-3.RLTS.T22718048A179048340.en']",https://en.wikipedia.org/wiki/Grey-hooded_sunbird,https://upload.wikimedia.org/wikipedia/commons/1/17/Aethopyga_primigenia_2009_stamp_of_the_Philippines.jpg,Philippines,forest
1029,Grey-hooded warbler,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,P. xanthoschistos,"Phylloscopus xanthoschistos(Gray & Gray, 1846)","Seicercus xanthoschistos G.E.Gray & G.R.Gray, 1846",The grey-hooded warbler (Phylloscopus xanthoschistos) is a species of leaf warbler (family Phylloscopidae). It is most famous for the way it warbles.,"['All stub articles', ""Articles with 'species' microformats"", 'Articles with short description']","['http://datazone.birdlife.org/species/factsheet/22715423', 'http://doi.org/10.2305%2FIUCN.UK.2016-3.RLTS.T22715423A94452088.en', 'https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=916723']",https://en.wikipedia.org/wiki/Grey-hooded_warbler,https://upload.wikimedia.org/wikipedia/commons/e/e0/Flickr_-_Rainbirder_-_Wood_Warbler_%28Phylloscopus_sibilatrix%29.jpg,,forest
1030,Grey-hooded white-eye,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Heleia,H. pinaiae,"Heleia pinaiae(Stresemann, 1912)",,"The grey-hooded white-eye (Heleia pinaiae), also known as the grey-hooded ibon, is a species of bird in the family Zosteropidae. It is endemic to Seram Island.","['All stub articles', ""Articles with 'species' microformats"", 'Articles with short description']","['http://doi.org/10.2305%2FIUCN.UK.2016-3.RLTS.T22714311A94411142.en', 'https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=560885', 'https://animaldiversity.org/accounts/Lophozosterops_pinaiae/']",https://en.wikipedia.org/wiki/Grey-hooded_white-eye,https://upload.wikimedia.org/wikipedia/commons/b/be/Grey-hooded_White-eye_%28Lophozosterops_pinaiae%29_-_Flickr_-_Lip_Kee.jpg,,forest
1031,Greyish eagle-owl,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,B. cinerascens,"Bubo cinerascensGuérin-Méneville, 1843",,The greyish eagle-owl or vermiculated eagle-owl (Bubo cinerascens) is a rather large owl of the northern part of Sub-Saharan Africa. It was previously regarded as the northern subspecies of the spotted eagle-owl (Bubo africanus).,"[""Articles with 'species' microformats"", 'Articles with short description', 'Birds described in 1843']","['http://ibc.lynxeds.com/species/greyish-eagle-owl-bubo-cinerascens', 'http://datazone.birdlife.org/species/factsheet/61741660', 'http://www.bsc-eoc.org/avibase/avibase.jsp?pg=summary&lang=EN&id=B4E343C320E09F2C&ts=1190523284250']",https://en.wikipedia.org/wiki/Greyish_eagle-owl,https://upload.wikimedia.org/wikipedia/commons/7/72/Bubo_cinerascens.jpg,,
1032,Greyish miner,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Furnariidae,Geositta,G. maritima,"Geositta maritima(d'Orbigny & Lafresnaye, 1837)",,The greyish miner (Geositta maritima) is a species of bird in the family Furnariidae. It is found in Chile and Peru.,"['All stub articles', ""Articles with 'species' microformats"", 'Articles with short description']","['http://datazone.birdlife.org/species/factsheet/22701984', 'http://doi.org/10.2305%2FIUCN.UK.2016-3.RLTS.T22701984A93856161.en', 'https://neotropical.birds.cornell.edu/Species-Account/nb/species/gramin1']",https://en.wikipedia.org/wiki/Greyish_miner,https://upload.wikimedia.org/wikipedia/commons/d/d0/Furnarius-icon.png,Chile,
1033,Greyish mourner,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Rhytipterna,R. simplex,"Rhytipterna simplex(Lichtenstein, MHK, 1823)",,"The greyish mourner (Rhytipterna simplex) is a species of bird in the family Tyrannidae.
It is found in Bolivia, Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Suriname, and Venezuela.","['All stub articles', ""Articles with 'species' microformats"", 'Articles with short description']","['http://datazone.birdlife.org/species/factsheet/22700376', 'http://www.boldsystems.org/index.php/TaxBrowser_TaxonPage?taxid=111259', 'http://doi.org/10.2305%2FIUCN.UK.2016-3.RLTS.T22700376A93771755.en']",https://en.wikipedia.org/wiki/Greyish_mourner,https://upload.wikimedia.org/wikipedia/commons/c/ca/Filhotao_Ben-te-vi_REFON.jpg,French Guiana,forest
1034,Greyish piculet,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Piciformes,Picidae,Picumnus,P. granadensis',"Picumnus granadensis'Lafresnaye, 1847",,The greyish piculet (Picumnus granadensis) is a species of bird in the family Picidae. It is endemic to Colombia.,"[""Articles with 'species' microformats"", 'Articles with short description', 'Birds described in 1847']","['http://ibc.lynxeds.com/species/greyish-piculet-picumnus-granadensis', 'http://datazone.birdlife.org/species/factsheet/22680777', 'https://neotropical.birds.cornell.edu/Species-Account/nb/species/grapic1']",https://en.wikipedia.org/wiki/Greyish_piculet,https://upload.wikimedia.org/wikipedia/commons/a/a0/Greyish_piculet_-_Colombia_S4E9137.jpg,Colombia,
1035,Greylag goose,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,A. anser,"Anser anser(Linnaeus, 1758)","Anas anser Linnaeus, 1758 Anser cinereus Meyer",The greylag goose or graylag goose (Anser anser) is a species of large goose in the waterfowl family Anatidae and the type species of the genus Anser. It has mottled and barred grey and white plumage and an orange beak and pink legs.,"['Anser (bird)', 'Articles containing video clips', ""Articles with 'species' microformats""]","['http://www.hbw.com/node/52815', 'http://www.oiseaux-birds.com/card-greylag-goose.html', 'http://digitalcommons.unl.edu/biosciducksgeeseswans/5/']",https://en.wikipedia.org/wiki/Greylag_goose,https://upload.wikimedia.org/wikipedia/commons/9/91/20090426_Parc_Paradisio_%280357%29.jpg,Cuba,fen
1036,Grey-legged tinamou,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,C. duidae,"Crypturellus duidae(Zimmer, 1938) [2]",,"The grey-legged tinamou (Crypturellus duidae), alternatively, the gray-legged tinamou, is a small ground-dwelling bird endemic to the neotropics.
The grey-legged tinamou is a rarely seen bird due to its small size and discreet appearance.","[""Articles with 'species' microformats"", 'Articles with short description', 'Birds described in 1938']","['http://www.scielo.br/j/aa/a/7CG8MzL59b5393Sh4dzWCrw/?lang=en', 'http://pubmed.ncbi.nlm.nih.gov/20525622', 'http://pubmed.ncbi.nlm.nih.gov/26444237']",https://en.wikipedia.org/wiki/Grey-legged_tinamou,https://upload.wikimedia.org/wikipedia/commons/3/39/Crypturellus_duidae.JPG,,
1037,Grey-mantled wren,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Odontorchilus,O. branickii,"Odontorchilus branickii(Taczanowski & Berlepsch, 1885)",,"The grey-mantled wren (Odontorchilus branickii) is a species of bird in the family Troglodytidae. It is found in Bolivia, Colombia, Ecuador, and Peru.","['All Wikipedia articles written in American English', ""Articles with 'species' microformats"", 'Articles with short description']","['http://datazone.birdlife.org/species/factsheet/22711325', 'https://neotropical.birds.cornell.edu/Species-Account/nb/species/gymwre1', 'https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=561641']",https://en.wikipedia.org/wiki/Grey-mantled_wren,https://upload.wikimedia.org/wikipedia/commons/7/7c/Grey-mantled_Wren.jpg,Colombia,
1038,"('Grey-naped antpitta', 'Conservation status')",,Animalia,Chordata,Aves,Passeriformes,Grallariidae,Grallaria,G. griseonucha,"Grallaria griseonuchaSclater & Salvin, 1871",,"The conservation status of a group of organisms (for instance, a species) indicates whether the group still exists and how likely the group is to become extinct in the near future. Many factors are taken into account when assessing conservation status: not simply the number of individuals remaining, but the overall increase or decrease in the population over time, breeding success rates, and known threats.","['All articles containing potentially dated statements', 'All articles with dead external links', 'Articles containing potentially dated statements from January 2008']","['http://www.inbo.be/content/homepage_en.asp', 'http://www.cosepac.gc.ca/eng/sct5/index_e.cfm', 'http://www.ymparisto.fi/default.asp?node=6053&lan=en']",https://en.wikipedia.org/wiki/Conservation_status,https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg,,
1039,Grey-necked bunting,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,E. buchanani,"Emberiza buchananiBlyth, 1844[2]",Euspiza huttoni Glycyspina huttoni,"The grey-necked bunting (Emberiza buchanani), sometimes referred to as grey-hooded bunting (a name also in use for chestnut-eared bunting) is a species of bird in the family Emberizidae. It breeds along a wide distribution range from the Caspian Sea to the Altai Mountains in Central Asia and winters in parts of Southern Asia.","[""Articles with 'species' microformats"", 'Articles with short description', 'Birds described in 1844']","['http://www.birdsofeilat.com/pdfiles/2001%20Emb%20spp.%20Israel.pdf', 'http://ibc.lynxeds.com/species/grey-hooded-bunting-emberiza-buchanani', 'http://www.eu-nomen.eu/portal/taxon.php?GUID=urn:lsid:faunaeur.org:taxname:97528']",https://en.wikipedia.org/wiki/Grey-necked_bunting,https://upload.wikimedia.org/wikipedia/commons/c/cf/Emberiza_buchanani_MHNT.ZOO.2010.11.219_Mongolie.jpg,,
1040,Grey-necked rockfowl,Near Threatened (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Picathartidae,Picathartes,P. oreas,"Picathartes oreasReichenow, 1899",,"The grey-necked rockfowl (Picathartes oreas) is a medium-sized bird in the family Picathartidae with a long neck and tail. Also known as the grey-necked picathartes, this passerine is mainly found in rocky areas of close-canopied rainforest from south-west Nigeria through Cameroon, Equatorial Guinea, and south-west Gabon.","[""Articles with 'species' microformats"", 'Articles with short description', 'Birds described in 1899']","['http://www.eco-chef.com/wildlifeconservation%20-%20picathartes.pdf', 'http://ibc.lynxeds.com/species/grey-necked-picathartes-picathartes-oreas', 'http://www.mendeley.com/research/breeding-distribution-population-decline-globally-threatened-greynecked-picathartes-picathartes-oreas-mbam-minkom-mountain-forest-southern-cameroon-1/#page-1']",https://en.wikipedia.org/wiki/Grey-necked_rockfowl,https://upload.wikimedia.org/wikipedia/commons/6/6b/Bakweri_cocoyam_farmer_from_Cameroon.jpg,Equatorial Guinea,forest
1041,"('Grey-olive greenbul', 'Conservation status')",,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Phyllastrephus,P. cerviniventris,"Phyllastrephus cerviniventrisShelley, 1894",,"The conservation status of a group of organisms (for instance, a species) indicates whether the group still exists and how likely the group is to become extinct in the near future. Many factors are taken into account when assessing conservation status: not simply the number of individuals remaining, but the overall increase or decrease in the population over time, breeding success rates, and known threats.","['All articles containing potentially dated statements', 'All articles with dead external links', 'Articles containing potentially dated statements from January 2008']","['http://www.inbo.be/content/homepage_en.asp', 'http://www.cosepac.gc.ca/eng/sct5/index_e.cfm', 'http://www.ymparisto.fi/default.asp?node=6053&lan=en']",https://en.wikipedia.org/wiki/Conservation_status,https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg,,
1042,Grey-rumped swallow,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Hirundinidae,"PseudhirundoRoberts, 1922",P. griseopyga,"Pseudhirundo griseopyga(Sundevall, 1850)",,The grey-rumped swallow (Pseudhirundo griseopyga) is a species of swallow. It is the only member of the genus Pseudhirundo.,"['All stub articles', ""Articles with 'species' microformats"", 'Articles with short description']","['http://datazone.birdlife.org/species/factsheet/22712209', 'http://www.boldsystems.org/index.php/TaxBrowser_TaxonPage?taxid=116639', 'http://doi.org/10.2305%2FIUCN.UK.2017-3.RLTS.T22712209A118747190.en']",https://en.wikipedia.org/wiki/Grey-rumped_swallow,https://upload.wikimedia.org/wikipedia/commons/2/24/Landsvale.jpg,Central African Republic,
1043,Grey-rumped swift,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Apodiformes,Apodidae,Chaetura,C. cinereiventris,"Chaetura cinereiventris(Sclater, 1862)",,"The grey-rumped swift (Chaetura cinereiventris) is a small swift.
This species breeds in hill forests from Nicaragua south to Peru, Brazil and northern Argentina, and Grenada, Trinidad and Tobago.","[""Articles with 'species' microformats"", 'Articles with short description', 'Birds described in 1862']","['http://datazone.birdlife.org/species/factsheet/22686701', 'http://www.boldsystems.org/index.php/TaxBrowser_TaxonPage?taxid=32033', 'http://doi.org/10.2305%2FIUCN.UK.2020-3.RLTS.T22686701A168013736.en']",https://en.wikipedia.org/wiki/Grey-rumped_swift,https://upload.wikimedia.org/wikipedia/commons/a/a9/Chaetura_cinereiventris_cinereiventris.jpg,Trinidad and Tobago,forest
1044,Grey-rumped swiftlet,,Animalia,Chordata,Aves,Apodiformes,Apodidae,Collocalia,C. marginata,"Collocalia marginataSalvadori, 1882",Collocalia esculenta marginata,"The edible-nest swiftlet (Aerodramus fuciphagus), also known as the white-nest swiftlet, is a small bird of the swift family which is found in South-East Asia. Its opaque and whitish nest is made exclusively of solidified saliva and is the main ingredient of bird's nest soup, a delicacy of Chinese cuisine.","['Aerodramus', 'All articles needing additional references', 'Articles needing additional references from May 2016']","['http://scholar.google.com/scholar?q=%22Edible-nest+swiftlet%22', 'http://www.google.com/search?&q=%22Edible-nest+swiftlet%22&tbs=bkt:s&tbm=bks', 'http://www.google.com/search?as_eq=wikipedia&q=%22Edible-nest+swiftlet%22']",https://en.wikipedia.org/wiki/Edible-nest_swiftlet,https://upload.wikimedia.org/wikipedia/commons/e/ec/AerodramusFuciphagus.LipKee.jpg,,
1045,Grey-rumped treeswift,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Apodiformes,Hemiprocnidae,Hemiprocne,H. longipennis,"Hemiprocne longipennis(Rafinesque, 1802)",,"The grey-rumped treeswift (Hemiprocne longipennis) is a species of bird in the Hemiprocnidae family. Currently, four extant species are placed in the family.","[""Articles with 'species' microformats"", 'Articles with short description', 'Birds described in 1802']","['http://www.besgroup.org/2007/07/30/nesting-of-grey-rumped-treeswift/', 'http://datazone.birdlife.org/species/factsheet/22686894', 'http://doi.org/10.2305%2FIUCN.UK.2016-3.RLTS.T22686894A93129985.en']",https://en.wikipedia.org/wiki/Grey-rumped_treeswift,https://upload.wikimedia.org/wikipedia/commons/1/1f/Grey_Rumped_Treeswift.jpg,Malaysia,
1046,Grey-sided bush warbler,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Cettiidae,Cettia,C. brunnifrons,"Cettia brunnifrons(Hodgson, 1845)",Cettia brunneifrons,"The Japanese bush warbler (Horornis diphone), known in Japanese as uguisu (鶯), is an Asian passerine bird more often heard than seen. Its distinctive breeding song can be heard throughout much of Japan from the start of spring.","['AC with 0 elements', ""Articles with 'species' microformats"", 'Articles with short description']","['http://www.avesphoto.com/website/JP/species/WARJBU-1.htm', 'http://datazone.birdlife.org/species/factsheet/22714380', 'http://hbs.bishopmuseum.org/birds/rlp-monograph/pdfs/06-PTER-TIMA/JABW.pdf']",https://en.wikipedia.org/wiki/Japanese_bush_warbler,https://upload.wikimedia.org/wikipedia/commons/b/b9/Cettia_diphone_%28crying%29.JPG,Japan,
1047,Grey-sided flowerpecker,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Dicaeidae,Dicaeum,D. celebicum,"Dicaeum celebicumMüller, 1843",,The grey-sided flowerpecker (Dicaeum celebicum) is a species of bird in the family Dicaeidae. It is endemic to Indonesia.,"['All stub articles', 'Articles containing video clips', ""Articles with 'species' microformats""]","['http://datazone.birdlife.org/species/factsheet/22717575', 'http://www.boldsystems.org/index.php/TaxBrowser_TaxonPage?taxid=118923', 'http://doi.org/10.2305%2FIUCN.UK.2018-2.RLTS.T22717575A131977100.en']",https://en.wikipedia.org/wiki/Grey-sided_flowerpecker,https://upload.wikimedia.org/wikipedia/commons/b/bc/Dicaeum_celebicum.JPG,Indonesia,forest
1048,Grey-sided laughingthrush,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Pterorhinus,P. caerulatus,"Pterorhinus caerulatus(Hodgson, 1836)",Ianthocincla caerulataGarrulax caerulatus,"The grey-sided laughingthrush (Pterorhinus caerulatus) is a species of passerine bird in the family Leiothrichidae.
This species was formerly placed in the genus Garrulax but following the publication of a comprehensive molecular phylogenetic study in 2018, it was moved to the resurrected genus Pterorhinus.","['All stub articles', ""Articles with 'species' microformats"", 'Articles with short description']","['http://datazone.birdlife.org/species/factsheet/22715685', 'http://doi.org/10.1111%2Fzsc.12296', 'http://www.tierstimmen.org/en/database?field_spec_species_target_id_selective=7282']",https://en.wikipedia.org/wiki/Grey-sided_laughingthrush,https://upload.wikimedia.org/wikipedia/commons/2/2b/Garrulax_caeruleus.jpg,Myanmar,forest
1049,"('Grey-sided scimitar babbler', 'Conservation status')",,Animalia,Chordata,Aves,Passeriformes,Timaliidae,Erythrogenys,E. swinhoei,"Erythrogenys swinhoeiDavid, 1874",,"The conservation status of a group of organisms (for instance, a species) indicates whether the group still exists and how likely the group is to become extinct in the near future. Many factors are taken into account when assessing conservation status: not simply the number of individuals remaining, but the overall increase or decrease in the population over time, breeding success rates, and known threats.","['All articles containing potentially dated statements', 'All articles with dead external links', 'Articles containing potentially dated statements from January 2008']","['http://www.inbo.be/content/homepage_en.asp', 'http://www.cosepac.gc.ca/eng/sct5/index_e.cfm', 'http://www.ymparisto.fi/default.asp?node=6053&lan=en']",https://en.wikipedia.org/wiki/Conservation_status,https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg,,
1050,Grey-sided thrush,Vulnerable (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,T. feae,"Turdus feae(Salvadori, 1887)",,"The grey-sided thrush (Turdus feae) is a species of bird in the thrush family, Turdidae.


== Description ==
The grey-sided thrush is a medium-sized, warm-brown thrush with a white supercilium and crescent below the eye.","['All stub articles', ""Articles with 'species' microformats"", 'Articles with short description']","['http://www.arkive.org/grey-sided-thrush/turdus-feae/', 'http://datazone.birdlife.org/species/factsheet/22708790', 'http://www.birdlife.org/datazone/species/factsheet/22708790']",https://en.wikipedia.org/wiki/Grey-sided_thrush,https://upload.wikimedia.org/wikipedia/commons/4/42/Hermitthrush63.jpg,,
1051,Grey-streaked flycatcher,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Muscicapa,M. griseisticta,"Muscicapa griseisticta(R. Swinhoe, 1861)",,The grey-streaked flycatcher or grey-spotted flycatcher (Muscicapa griseisticta) is a small passerine bird breeding in the eastern Palearctic belonging to the genus Muscicapa in the Old World flycatcher family Muscicapidae. The species was first described by Robert Swinhoe in 1861.,"[""Articles with 'species' microformats"", 'Articles with short description', 'Birds described in 1861']","['http://datazone.birdlife.org/species/factsheet/22709200', 'http://www.boldsystems.org/index.php/TaxBrowser_TaxonPage?taxid=117739', 'http://doi.org/10.2305%2FIUCN.UK.2018-2.RLTS.T22709200A132081179.en']",https://en.wikipedia.org/wiki/Grey-streaked_flycatcher,https://upload.wikimedia.org/wikipedia/commons/c/cc/Muscicapa_griseisticta.JPG,Philippines,forest
1052,Grey-streaked honeyeater,Least Concern (IUCN 3.1)[1],Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Ptiloprora,P. perstriata,"Ptiloprora perstriata(De Vis, 1898)",,"The grey-streaked honeyeater (Ptiloprora perstriata), also known as the black-backed honeyeater, is a species of bird in the family Meliphagidae.  It is found in the New Guinea Highlands.","['All stub articles', ""Articles with 'species' microformats"", 'Articles with short description']","['http://datazone.birdlife.org/species/factsheet/22704248', 'http://doi.org/10.2305%2FIUCN.UK.2018-2.RLTS.T22704248A130257997.en', 'https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=562584']",https://en.wikipedia.org/wiki/Grey-streaked_honeyeater,https://upload.wikimedia.org/wikipedia/commons/a/a4/Easternspinebill.jpg,Guinea,forest
