,Common Name,Conservation status,Synonyms,Old latin name for bird,Order,Family,Genus,Breeding region,Breeding subregion,Link,Non breeding region
0,taita-falcon,VU - Vulnerable,Teita Falcon,,Falcons / Falconiformes,"Caracaras, Falcons / Falconidae",Falco,Africa,s Ethiopia to n South Africa,https://dibird.com/species/taita-falcon/,-
0,taita-fiscal,LC - Least concern,"Teita Fiscal, Taita Fiscal Shrike, Taita Shrike, Teita Fiscal Shrike",Lanius (fiscus) dorsalis,Perching Birds / Passeriformes,Shrikes / Laniidae,Lanius,Africa,"se South Sudan, s Ethiopia and c Somalia to ne Tanzania",https://dibird.com/species/taita-fiscal/,-
0,taita-thrush,CR - Critically endangered,"Teita Olive Thrush, Teita Thrush, Taita Olive Thrush",Planesticus helleri,Perching Birds / Passeriformes,Thrushes / Turdidae,Turdus,Africa,se Kenya,https://dibird.com/species/taita-thrush/,-
0,taita-whiteeye,EN - Endangered,"Kikuyu Green White-eye, Teita White-eye, African Yellow White-eye (silvana), Broad-ringed White-eye (Taita)","Zoosterops silvanus, Zosterops silvana",Perching Birds / Passeriformes,White-eyes / Zosteropidae,Zosterops,Africa,Kenya,https://dibird.com/species/taita-whiteeye/,-
0,taiwan-bamboo-partridge,LC - Least concern,"Taiwan Bamboo-Partridge, Chinese Bamboo-Partridge (Taiwan), Taiwan Bamboo-Partidge",,Сhickens and relatives / Galliformes,Pheasants & Allies / Phasianidae,Bambusicola,Oriental Region,Taiwan,https://dibird.com/species/taiwan-bamboo-partridge/,-
0,taiwan-barbet,LC - Least concern,"Formosan Barbet, Tawainese Barbet","Megalaima nuchalis, Megalaema nuchalis","Woodpeckers, Toucans and relatives / Piciformes",Asian Barbets / Megalaimidae,Psilopogon,Oriental Region,Taiwan,https://dibird.com/species/taiwan-barbet/,-
0,taiwan-barwing,LC - Least concern,Formosan Barwing,"Sibia morrisoniana, Actinodura morrisonia",Perching Birds / Passeriformes,Laughingthrushes & Allies / Leiothrichidae,Actinodura,Oriental Region,Taiwan,https://dibird.com/species/taiwan-barwing/,-
0,taiwan-blue-magpie,LC - Least concern,"Formosan Blue Magpie, Taiwan Blue-Magpie, Formosean blue magpie, Taiwan Magpie, Formosan Magpie",,Perching Birds / Passeriformes,"Crows, Jays / Corvidae",Urocissa,Oriental Region,Taiwan,https://dibird.com/species/taiwan-blue-magpie/,-
0,taiwan-bush-warbler,LC - Least concern,"Taiwan Bush-Warbler, Taiwan Grasshopper-warbler",Bradypterus alishanensis,Perching Birds / Passeriformes,Grassbirds & Allies / Locustellidae,Locustella,Oriental Region,Taiwan,https://dibird.com/species/taiwan-bush-warbler/,-
0,taiwan-cupwing,LC - Least concern,"Taiwan Wren Babbler, Taiwan Wren-Babbler","Pnoã«pyga formosana, Pnoepyga pusilla",Perching Birds / Passeriformes,Cupwings / Pnoepygidae,Pnoepyga,Oriental Region,Taiwan,https://dibird.com/species/taiwan-cupwing/,-
0,taiwan-fulvetta,LC - Least concern,,"Alcippe formosana, Proparus formosanus",Perching Birds / Passeriformes,Parrotbills & Allies / Paradoxornithidae,Fulvetta,Oriental Region,Taiwan,https://dibird.com/species/taiwan-fulvetta/,-
