,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,ecoregion,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,visual system,conservation status,hearing range,behavioral circadian rhythm,bill length,body shape,diet includes,mating system,native range includes,social system,tarsus length,temperature at range midpoint latitude,trophic guild,eats,foraging habitat,life span,litters per year,prenatal development duration,weight,genome size,has host,parasite of,visits flowers of,type specimen repository,ecomorphological guild,has ectoparasite,basal metabolic rate,trophic level,parental care,parasitized by,growth rate,egg mass,preys on,number of public records in bold,mutualistic with,middle toe length,invasive in,is killed by,body length,host of,onset of fertility,initial mortality rate,mortality rate doubling time,is eaten by,body temperature,sensory system,tarsometatarsus + middle toe length,has pathogen,motility,clutch/brood/litter size,is vector for,used for
0,Dulit partridge,Animalia,Chordata,Aves,https://eol.org/pages/45515955,Rhizothera dulitensis (Dulit Partridge) is a species of birds in the family Phasianidae. They are listed as vulnerable by IUCN. They rely on flight to move around.,tympanic middle ear,,,,Malaysia,"mountain,terrestrial",20 dB,bipedal movement,apatite,Decreasing,corneal eyes,vulnerable,5000 Hz,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dune lark,Animalia,Chordata,Aves,https://eol.org/pages/45515321,Calendulauda erythrochlamys (Dune Lark) is a species of birds in the family larks. They rely on flight to move around.,tympanic middle ear,,,,Namibia,subtropical,10 dB,bipedal movement,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dunlin,Animalia,Chordata,Aves,https://eol.org/pages/45509239,"Calidris alpina (Dunlin) is a species of birds in the family Scolopacidae. They are associated with freshwater habitat. They are native to The Nearctic, Asia, and the Palearctic. They are diurnal carnivores. Individuals can grow to 43 cm. They have parental care (pair provides care, female provides care, and paternal care). They rely on flight to move around.",,,,,New Zealand,,,,,Decreasing,,,,,,bilaterally symmetric,worms,monogamous,The Nearctic,group living,,,invertivore,,freshwater,,1 /year,21 days,,,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dunnock,Animalia,Chordata,Aves,https://eol.org/pages/45515701,Prunella modularis (Hedge Accentor) is a species of birds in the family accentors. They are found in the palearctic and australasia. They are diurnal. They have parental care (cooperative breeding). They rely on flight to move around.,,the palearctic,,,South Pacific,temperate,,flight,,Decreasing,,,,,,,,,,,,,invertivore,Taraxacum (Rantavoikukat),terrestrial,20.8 years,,,20.2 g,,,,,NHMUK,,,0.325 watts,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dunns lark,Animalia,Chordata,Aves,https://eol.org/pages/45515361,Eremalauda dunni (Dunn's Lark) is a species of birds in the family larks. They are found in the palearctic and Afrotropics. They rely on flight to move around.,tympanic middle ear,the palearctic,20.5 g,South Saharan Steppe And Woodlands,Oman,desert,10 dB,bipedal movement,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Duponts lark,Animalia,Chordata,Aves,https://eol.org/pages/45513661,Chersophilus duponti (Dupont's Lark) is a species of birds in the family larks. They are listed as vulnerable by IUCN. They are found in the palearctic. They rely on flight to move around.,tympanic middle ear,the palearctic,47 g,,Tunisia,"desert,terrestrial",10 dB,flight,apatite,Decreasing,corneal eyes,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dusky antbird,Animalia,Chordata,Aves,https://eol.org/pages/49802286,Cercomacroides tyrannina (Dusky Antbird) is a species of birds in the family typical antbirds. They rely on flight to move around.,tympanic middle ear,,,,South Atlantic,terrestrial,10 dB,flight,apatite,Stable,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dusky babbler,Animalia,Chordata,Aves,https://eol.org/pages/45514630,Turdoides tenebrosa (Dusky Babbler) is a species of birds in the family Leiothrichidae. They rely on flight to move around.,tympanic middle ear,,,,Uganda,"tropical,terrestrial",10 dB,flight,apatite,Decreasing,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dusky broadbill,Animalia,Chordata,Aves,https://eol.org/pages/45516641,Corydon sumatranus (Dusky Broadbill) is a species of birds in the family broadbills. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,140 g,Southern Annamites Montane Rain Forests,Cambodia,"subtropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dusky bush tanager,Animalia,Chordata,Aves,https://eol.org/pages/45513538,Chlorospingus semifuscus (Dusky Bush Tanager) is a species of birds in the family Passerellidae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,23 g,,Colombia,"tropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
