,Name,Wikidata_link
0,Cryptic Antthrush,https://www.wikidata.org/wiki/Q859954
0,Cryptic antthrush1,https://www.wikidata.org/wiki/Q859954
0,Cryptic Flycatcher,https://www.wikidata.org/wiki/Q1886764
0,Cryptic Forest-falcon,https://www.wikidata.org/wiki/Q1088849
0,Cryptic honeyeater,https://www.wikidata.org/wiki/Q81901909
0,Cryptic Treehunter,https://www.wikidata.org/wiki/Q19608738
0,Cryptic Warbler,https://www.wikidata.org/wiki/Q1588019
0,Cuban Amazon,https://www.wikidata.org/wiki/Q588594
0,Cuban Black Hawk,https://www.wikidata.org/wiki/Q1264417
0,Cuban Blackbird,https://www.wikidata.org/wiki/Q27076019
0,Cuban Bullfinch,https://www.wikidata.org/wiki/Q221256
0,Cuban Crow,
0,Cuban Emerald,https://www.wikidata.org/wiki/Q625100
0,Cuban Gnatcatcher,https://www.wikidata.org/wiki/Q901996
0,Cuban Grassquit,https://www.wikidata.org/wiki/Q1586876
0,Cuban Green Woodpecker,
0,Cuban Kite,https://www.wikidata.org/wiki/Q1536472
0,Cuban Macaw,https://www.wikidata.org/wiki/Q646994
0,Cuban Martin,https://www.wikidata.org/wiki/Q3136301
0,Cuban Nightjar,https://www.wikidata.org/wiki/Q911039
0,Cuban Oriole,https://www.wikidata.org/wiki/Q3727051
0,Cuban Parakeet,https://www.wikidata.org/wiki/Q27075008
0,Cuban Pewee,https://www.wikidata.org/wiki/Q1264939
0,Cuban Pygmy-owl,https://www.wikidata.org/wiki/Q634656
0,Cuban Solitaire,https://www.wikidata.org/wiki/Q3314718
0,Cuban Tody,https://www.wikidata.org/wiki/Q686975
0,Cuban Trogon,https://www.wikidata.org/wiki/Q742552
0,Cuban Vireo,https://www.wikidata.org/wiki/Q2667740
0,Cuckoo Roller,https://www.wikidata.org/wiki/Q71118
0,Cuckoo-finch,https://www.wikidata.org/wiki/Q1300762
0,Cundinamarca Antpitta,https://www.wikidata.org/wiki/Q606642
0,Curlcrested aracari,
0,Curl-crested Jay,
0,Curl-crested Manucode,https://www.wikidata.org/wiki/Q1471944
0,Curlew Sandpiper,https://www.wikidata.org/wiki/Q62345
0,Curve-billed Reedhaunter,https://www.wikidata.org/wiki/Q1130168
0,Curve-billed Scythebill,https://www.wikidata.org/wiki/Q1274841
0,Curve-billed Thrasher,https://www.wikidata.org/wiki/Q931391
0,Curve-billed Tinamou,https://www.wikidata.org/wiki/Q1272591
0,Curvewinged sabrewing,
0,Cut-throat Finch,https://www.wikidata.org/wiki/Q806262
0,Cuzco Brush-finch,https://www.wikidata.org/wiki/Q1924690
0,Cyprus Scops-owl,https://www.wikidata.org/wiki/Q27074732
0,Cyprus Warbler,https://www.wikidata.org/wiki/Q1475905
0,Cyprus Wheatear,https://www.wikidata.org/wiki/Q646917
0,Dagua thrush,https://www.wikidata.org/wiki/Q27075631
0,Dalat bush warbler,https://www.wikidata.org/wiki/Q21191122
0,Dalat shrikebabbler,
0,Dalmatian Pelican,https://www.wikidata.org/wiki/Q184751
0,Damar Flycatcher,https://www.wikidata.org/wiki/Q2226037
0,Damara redbilled hornbill,
0,Damara Tern,https://www.wikidata.org/wiki/Q1158217
0,Dambo Cisticola,https://www.wikidata.org/wiki/Q2225696
0,Dapple-throat,https://www.wikidata.org/wiki/Q370154
0,Darjeeling Woodpecker,https://www.wikidata.org/wiki/Q1276519
0,Dark Batis,https://www.wikidata.org/wiki/Q3729660
0,Dark Chanting-goshawk,https://www.wikidata.org/wiki/Q843278
0,Dark Hawk-cuckoo,https://www.wikidata.org/wiki/Q2998691
0,Dark Newtonia,https://www.wikidata.org/wiki/Q1307522
0,Dark Pewee,https://www.wikidata.org/wiki/Q1262569
0,Dark-backed Imperial-pigeon,https://www.wikidata.org/wiki/Q1270622
0,Dark-backed Sibia,https://www.wikidata.org/wiki/Q3314721
0,Dark-backed Weaver,https://www.wikidata.org/wiki/Q1317295
0,Dark-backed Wood-quail,https://www.wikidata.org/wiki/Q742535
0,Dark-bellied Cinclodes,https://www.wikidata.org/wiki/Q1271201
0,Dark-billed Cuckoo,https://www.wikidata.org/wiki/Q969834
0,Dark-breasted Rosefinch,https://www.wikidata.org/wiki/Q27075738
0,Dark-breasted Spinetail,https://www.wikidata.org/wiki/Q939690
0,Darkcapped bulbul,
0,Dark-eared Myza,https://www.wikidata.org/wiki/Q283150
0,Dark-eyed Junco,https://www.wikidata.org/wiki/Q525818
0,Darkeyed whiteeye,
0,Dark-faced Ground-tyrant,https://www.wikidata.org/wiki/Q1271229
0,Dark-fronted Babbler,https://www.wikidata.org/wiki/Q1303878
0,Dark-necked Tailorbird,https://www.wikidata.org/wiki/Q795531
0,Dark-rumped Rosefinch,https://www.wikidata.org/wiki/Q987765
0,Dark-rumped Swift,https://www.wikidata.org/wiki/Q1267391
0,Dark-sided Flycatcher,https://www.wikidata.org/wiki/Q73578
0,Dark-sided Thrush,https://www.wikidata.org/wiki/Q374107
0,Darksided thrush1,
0,Dark-throated Oriole,https://www.wikidata.org/wiki/Q742201
0,Dark-throated Seedeater,https://www.wikidata.org/wiki/Q3121312
0,Darkwinged canastero,
0,Dark-winged Miner,https://www.wikidata.org/wiki/Q2667273
0,Darkwinged trumpeter,
0,D'Arnaud's Barbet,https://www.wikidata.org/wiki/Q1264242
0,Dartford Warbler,
0,Darwins flycatcher,https://www.wikidata.org/wiki/Q55112064
0,Darwin's Nothura,https://www.wikidata.org/wiki/Q1268546
0,Darwins rhea,https://www.wikidata.org/wiki/Q733120
0,Daurian Jackdaw,https://www.wikidata.org/wiki/Q201461
0,Daurian Partridge,https://www.wikidata.org/wiki/Q27074584
0,Daurian Redstart,https://www.wikidata.org/wiki/Q616456
0,Daurian starling,https://www.wikidata.org/wiki/Q890912
0,Davids fulvetta,https://www.wikidata.org/wiki/Q12253097
0,Davisons leaf warbler,https://www.wikidata.org/wiki/Q3726341
0,De Filippis petrel,https://www.wikidata.org/wiki/Q903357
0,Dead Sea Sparrow,
0,Deepthroated antbird,
0,Delalandes coua,https://www.wikidata.org/wiki/Q279670
0,Delta Amacuro Softtail,https://www.wikidata.org/wiki/Q14915971
0,Demoiselle Crane,https://www.wikidata.org/wiki/Q191683
0,Denham's Bustard,https://www.wikidata.org/wiki/Q773787
0,Des Murs's Wiretail,https://www.wikidata.org/wiki/Q1263434
0,Desert Cisticola,https://www.wikidata.org/wiki/Q2226510
0,Desert Finch,https://www.wikidata.org/wiki/Q900715
0,Desert Lark,https://www.wikidata.org/wiki/Q890990
0,Desert owl,https://www.wikidata.org/wiki/Q20900835
0,Desert Sparrow,https://www.wikidata.org/wiki/Q971520
0,Desert Wheatear,https://www.wikidata.org/wiki/Q769934
0,Desert whitethroat,https://www.wikidata.org/wiki/Q606285
0,Desertas Petrel,https://www.wikidata.org/wiki/Q3412067
0,Diademed Amazon,https://www.wikidata.org/wiki/Q2841439
0,Diademed sandpiperplover,
0,Diademed Tanager,https://www.wikidata.org/wiki/Q931663
0,Diademed Tapaculo,https://www.wikidata.org/wiki/Q1267961
0,Diamantina Tapaculo,https://www.wikidata.org/wiki/Q1270835
0,Diamond Dove,
0,Diamond Firetail,
0,Diard's Trogon,https://www.wikidata.org/wiki/Q854665
0,Dickcissel,https://www.wikidata.org/wiki/Q1210224
0,Dickinson's Kestrel,
0,Diederik Cuckoo,https://www.wikidata.org/wiki/Q519634
0,Dieffenbach's Rail,https://www.wikidata.org/wiki/Q743677
0,Dimorphic Dwarf-kingfisher,
0,Dimorphic egret,https://www.wikidata.org/wiki/Q392527
0,Dimorphic Fantail,https://www.wikidata.org/wiki/Q2225186
0,Dinelli's Doradito,https://www.wikidata.org/wiki/Q1268906
0,Diuca finch,https://www.wikidata.org/wiki/Q2668619
0,Dja River scrub warbler,https://www.wikidata.org/wiki/Q1490737
0,Djibouti spurfowl,https://www.wikidata.org/wiki/Q27074577
0,Dodo,
0,DodoTemporal range Holocene,
0,Dodsons bulbul,https://www.wikidata.org/wiki/Q547866
0,Doherty's Bush-shrike,https://www.wikidata.org/wiki/Q1305539
0,Dohrn's Warbler,https://www.wikidata.org/wiki/Q1301389
0,Dolphin Gull,https://www.wikidata.org/wiki/Q886789
0,Donaldson-Smith's Nightjar,https://www.wikidata.org/wiki/Q1255816
0,Donaldson-Smith's Sparrow-weaver,https://www.wikidata.org/wiki/Q1924681
0,D'Orbigny's Chat-tyrant,https://www.wikidata.org/wiki/Q154533
